Date,Open,High,Low,Close,Adj Close,Volume
20-Jan-16,2240.5,2284.9,2230,2278.35,2266.17,176561
21-Jan-16,2280.05,2299.9,2256.05,2272.95,2274.88,190801
22-Jan-16,2279,2329.3,2274.15,2318.85,2317.3,161259
25-Jan-16,2323.3,2348,2315,2327.3,2330.7,214198
27-Jan-16,2333,2333,2285.05,2302.85,2304.02,256991
28-Jan-16,2301,2310.6,2255.7,2263.4,2282.75,172772
29-Jan-16,2270,2359.9,2263.55,2341.95,2312.05,234367
1-Feb-16,2360,2361.95,2310.1,2327.9,2332.88,155264
2-Feb-16,2310,2384.4,2300,2364.1,2359.35,281676
3-Feb-16,2345,2395,2335,2347.65,2367.68,179941
4-Feb-16,2370,2389.85,2295,2310.65,2333.91,1147152
5-Feb-16,2318.4,2378.95,2303.15,2366.35,2349.04,261889
8-Feb-16,2366.3,2388.8,2348,2355.05,2369.04,80466
9-Feb-16,2344,2390,2337.9,2376.6,2363.87,166296
10-Feb-16,2363.95,2387.9,2342,2368.15,2361.4,194080
11-Feb-16,2376.7,2386.95,2289.05,2329.9,2356.45,310125
12-Feb-16,2310,2328.8,2251,2304.4,2281.07,326424
15-Feb-16,2326,2372.3,2305,2342.1,2326.86,308865
16-Feb-16,2365,2368.7,2328.55,2329.85,2339.72,293481
17-Feb-16,2329.5,2369,2263.8,2357.45,2304.39,248046
18-Feb-16,2370.05,2417.65,2364.1,2406.4,2395.73,318053
19-Feb-16,2410,2467,2406.15,2455.8,2440.82,310736
22-Feb-16,2459,2485,2451.25,2476.75,2472.79,199748
23-Feb-16,2480,2480,2386.75,2396.45,2416.22,220555
24-Feb-16,2386.75,2408,2330.35,2337.4,2354.54,297923
25-Feb-16,2338,2352.85,2292.2,2322,2315.71,530719
26-Feb-16,2331.2,2351.9,2221.85,2238.1,2248.42,524806
29-Feb-16,2240,2268,2171.95,2201.2,2210.19,660576
1-Mar-16,2205.1,2267,2205.1,2258.2,2255.64,481942
2-Mar-16,2279.95,2318,2212.4,2230.3,2261.78,809509
3-Mar-16,2250,2286.2,2241,2280.1,2269.75,557055
4-Mar-16,2289.8,2324.1,2262.6,2306.25,2290.09,339975
8-Mar-16,2308,2339,2295.1,2326.25,2323.3,203818
9-Mar-16,2322.35,2335,2300,2316.8,2319.47,295112
10-Mar-16,2344.7,2344.7,2304.6,2324.6,2322.9,139845
11-Mar-16,2332.95,2347,2310.1,2325.9,2331.5,122688
14-Mar-16,2333,2333,2302.2,2316.6,2315.39,214060
15-Mar-16,2308,2328,2268.1,2278.45,2303.89,379744
16-Mar-16,2245.6,2259.65,2213,2250,2243.43,364016
17-Mar-16,2256.55,2283.3,2250.15,2269.9,2268.85,379252
18-Mar-16,2271,2308,2268.35,2303.35,2294.58,284447
21-Mar-16,2307.9,2320,2289.4,2314.2,2305.14,179791
22-Mar-16,2302,2322.8,2297.7,2310.8,2309.12,394338
23-Mar-16,2314.9,2364,2304.9,2356.4,2337.11,258677
28-Mar-16,2375.5,2375.5,2332.75,2357.35,2350.46,210492
29-Mar-16,2356.9,2374,2332,2351.95,2353.26,143428
30-Mar-16,2364,2440,2363,2422.45,2411.53,379072
31-Mar-16,2418,2457,2398.6,2405.95,2424.55,487678
1-Apr-16,2410,2427.4,2378,2419.85,2405.79,238387
4-Apr-16,2430,2477.7,2427.2,2448.25,2450.12,188472
5-Apr-16,2449.9,2470,2386.3,2394.85,2413.68,189320
6-Apr-16,2397.9,2425,2386.5,2395.2,2400.86,110752
7-Apr-16,2387,2395.2,2354.3,2378.45,2372.61,140705
8-Apr-16,2369.95,2404.85,2350.5,2389.45,2384.98,214592
11-Apr-16,2397.95,2439,2373,2433.85,2408.14,134590
12-Apr-16,2433.85,2468.05,2433.75,2459.7,2453.28,171855
13-Apr-16,2474.7,2614.5,2473,2582.5,2548.5,474377
18-Apr-16,2605,2609.9,2531,2544.45,2554.68,238512
20-Apr-16,2546.7,2572.4,2512.3,2532.8,2544.78,215577
21-Apr-16,2532,2548,2485,2496.45,2506,177164
22-Apr-16,2489.65,2554,2479,2522.15,2524.77,223129
25-Apr-16,2512.75,2559.9,2512.75,2543.75,2545.9,251692
26-Apr-16,2541,2559.5,2506.55,2548.1,2537.53,280095
27-Apr-16,2551.25,2583.15,2537.25,2548.25,2557.08,204441
28-Apr-16,2536.05,2568.6,2481,2487.5,2508.53,285060
29-Apr-16,2487,2500.75,2462.85,2491.95,2482.77,176707
2-May-16,2484,2525,2450.1,2477.95,2476.8,185691
3-May-16,2475,2498.9,2450.1,2462.85,2468.22,334288
4-May-16,2454.5,2480.55,2451,2460.3,2461.4,132511
5-May-16,2463,2488.3,2446.35,2453.3,2464.11,127867
6-May-16,2446.55,2453.75,2430.1,2435.2,2439.75,118418
9-May-16,2435,2537,2431.05,2527.15,2500.98,180905
10-May-16,2529.8,2540,2500,2530.05,2518.15,159486
11-May-16,2500,2554.8,2496.45,2517.25,2526.67,191358
12-May-16,2512.3,2558,2512.3,2549.05,2542.54,166196
13-May-16,2540.6,2545,2508.5,2517.7,2520.64,168060
16-May-16,2520.1,2526.2,2455,2512.1,2493.29,163404
17-May-16,2525,2535,2496.25,2506.55,2516.66,164096
18-May-16,2488,2501.95,2455,2461.7,2465.49,293238
19-May-16,2468,2471.6,2422.5,2435.45,2446.35,226925
20-May-16,2437,2461.55,2427,2453,2447.58,137638
23-May-16,2461,2464,2408.6,2421.8,2427.17,270512
24-May-16,2421,2421,2364.35,2379.4,2383.26,208394
25-May-16,2404.85,2504.95,2376.45,2475.3,2455.87,1132838
26-May-16,2494,2517.75,2475,2505.15,2499.09,581544
27-May-16,2505,2581.95,2487,2563.7,2541.91,326701
30-May-16,2583,2614.95,2570.6,2607.15,2597.31,281067
31-May-16,2605,2642,2603,2618.35,2622.07,447826
1-Jun-16,2635,2635,2600,2603.8,2612.41,163603
2-Jun-16,2585.05,2602.05,2556.6,2594.95,2581.41,219851
3-Jun-16,2595.6,2659.15,2595,2639.2,2640.51,293506
6-Jun-16,2641.8,2650,2619.1,2630,2633.06,200798
7-Jun-16,2649.85,2658,2625.2,2640.75,2644.35,238210
8-Jun-16,2640.75,2655.75,2624,2632.35,2639.95,235110
9-Jun-16,2634.3,2635.35,2577.1,2592.35,2600.42,226078
10-Jun-16,2590,2623.6,2565,2579.95,2588.19,134463
13-Jun-16,2566,2594.7,2554,2583.75,2572.46,122703
14-Jun-16,2585.05,2586.05,2550,2560.75,2560.77,164026
15-Jun-16,2570.5,2610.1,2565.15,2603.55,2593.14,220412
16-Jun-16,2582,2589.55,2550,2567.1,2564.44,223474
17-Jun-16,2573,2589,2555.6,2581.4,2575.01,137960
20-Jun-16,2550,2624.45,2550,2617.9,2604.42,150107
21-Jun-16,2620,2653.8,2612.25,2636.25,2637.17,255537
22-Jun-16,2636.25,2639.55,2613.5,2632.15,2628.47,142146
23-Jun-16,2630,2666,2601,2652,2639.72,276005
24-Jun-16,2600,2684.75,2554.85,2678.8,2633.85,341530
27-Jun-16,2690,2703,2643.6,2648.45,2666.14,274105
28-Jun-16,2662,2669.7,2615,2624.4,2641.28,277647
29-Jun-16,2647.8,2650,2632,2645.85,2642.2,329314
30-Jun-16,2658,2700,2655,2689.95,2681.7,457899
1-Jul-16,2697.5,2719.95,2665.05,2671.25,2691.57,307070
4-Jul-16,2680,2690,2645,2652.8,2658.47,185737
5-Jul-16,2645,2648.95,2602.65,2612.15,2613.85,209086
7-Jul-16,2608.5,2625,2590,2610.55,2607,205355
8-Jul-16,2620,2635,2600,2604.6,2611.92,147732
11-Jul-16,2626,2658,2626,2649.05,2646.03,180070
12-Jul-16,2657,2675,2635.1,2651.8,2655.63,193652
13-Jul-16,2660,2668,2630.2,2657.1,2648.86,147655
14-Jul-16,2643,2674,2641,2665.1,2661.92,134930
15-Jul-16,2668.5,2700,2667.4,2695.6,2688.71,207722
18-Jul-16,2714.45,2763,2706,2755.35,2749.18,362174
19-Jul-16,2760.1,2764,2745,2758.85,2752.86,343673
20-Jul-16,2761.75,2793,2746.25,2779.35,2779.59,380227
21-Jul-16,2787.1,2801.85,2762,2770.6,2778.49,239917
22-Jul-16,2765.2,2767.2,2715.5,2720.6,2728.31,214012
25-Jul-16,2720,2754.1,2680,2700.85,2706.2,300696
26-Jul-16,2705,2715.8,2660.2,2673.95,2688.95,291824
27-Jul-16,2675,2727.05,2621.2,2670.15,2666.55,1179297
28-Jul-16,2671.7,2711.75,2653,2660.5,2674.82,473920
29-Jul-16,2660,2724.2,2660,2700.8,2706.8,321171
1-Aug-16,2710.1,2780,2710.1,2736.15,2749.2,458487
2-Aug-16,2749.9,2780,2726.2,2747.65,2755.17,285707
3-Aug-16,2743.1,2758.5,2705,2714.85,2729.77,180584
4-Aug-16,2738,2774.9,2724,2744,2753.7,251834
5-Aug-16,2754.3,2881,2750,2862.1,2828.11,419350
8-Aug-16,2872.1,2918.05,2860.15,2871.45,2888.33,242032
9-Aug-16,2871.9,2893.75,2833.8,2866.8,2868.03,225096
10-Aug-16,2862.2,2902,2845.15,2856,2876.45,203530
11-Aug-16,2860,2888.8,2825,2846.35,2854.61,152651
12-Aug-16,2846,2904,2840,2868.7,2878.71,179931
16-Aug-16,2872.25,2897.3,2840,2883.05,2870.24,196703
17-Aug-16,2892.4,2951.8,2883.05,2939.65,2932.35,289452
18-Aug-16,2933,2958.25,2925,2946.1,2949.53,139176
19-Aug-16,2946.1,2948.95,2920.5,2933.2,2932.97,92809
22-Aug-16,2933,2950,2908.05,2924.9,2924.13,167024
23-Aug-16,2923.9,2923.9,2868,2878.8,2885.66,164538
24-Aug-16,2885,2900.75,2851,2869.7,2868.9,189493
25-Aug-16,2894,2903.95,2849.05,2862.4,2870.25,196374
26-Aug-16,2877.4,2877.4,2845.05,2858.25,2858.94,172603
29-Aug-16,2867.8,2904,2809.05,2887.85,2856.27,129976
30-Aug-16,2897.05,3010,2897.05,2978.9,2971.86,421580
31-Aug-16,2982,3037.75,2969.9,2978.5,2997.24,345001
1-Sep-16,2978.5,3018.3,2955.35,2999,3001.76,193060
2-Sep-16,2970.05,3015,2924.3,2998.05,2977.79,350046
6-Sep-16,2996,3035.45,2990,3004.8,3012,214998
7-Sep-16,3020,3020,2980,2985.8,2993.58,159864
8-Sep-16,2980,3120,2980,3088.7,3083.74,406556
9-Sep-16,3091.9,3107.2,3017.25,3036.45,3045.7,233241
12-Sep-16,2970,2977.7,2926,2954.9,2948.95,161009
14-Sep-16,2964,2994.45,2939.55,2971.55,2959.44,257712
15-Sep-16,2971,2978,2925.15,2931.75,2947.17,232030
16-Sep-16,2932.9,3031,2932.9,2981.6,2994.43,349528
19-Sep-16,2984.85,3012.3,2940,2945.85,2958.6,192976
20-Sep-16,2923.8,2956,2875,2886.95,2897.62,315212
21-Sep-16,2889,2966.5,2857.05,2902.65,2924.96,472910
22-Sep-16,2936,2972.95,2916.65,2926.75,2938.5,271251
23-Sep-16,2926,2954.2,2912.6,2929.65,2935.85,334216
26-Sep-16,2924,2933,2878,2891.6,2899.04,287196
27-Sep-16,2918,2927.8,2870,2875.8,2897.9,176614
28-Sep-16,2879,2925,2871.55,2913.9,2906.39,302892
29-Sep-16,2941,2953.95,2835.2,2846.4,2867.37,480296
30-Sep-16,2857.95,2857.95,2816.8,2827.6,2833.39,229858
3-Oct-16,2830,2908.35,2830,2880.9,2881.48,281923
4-Oct-16,2903,2917,2876.05,2894.2,2894.56,260010
5-Oct-16,2900,2910,2845.8,2857.95,2864.24,188728
6-Oct-16,2869.05,2869.05,2811.2,2823.05,2840.06,176396
7-Oct-16,2827.05,2900,2785,2883.5,2831.52,325112
10-Oct-16,2892,2906.75,2856.1,2876.4,2881.55,121601
13-Oct-16,2865.1,2880.4,2815.05,2825.25,2838.02,185672
14-Oct-16,2838,2849,2792.4,2798.3,2809.66,181609
17-Oct-16,2805,2834.9,2743.65,2753.85,2771.91,194876
18-Oct-16,2756.25,2810,2755.55,2792.65,2787.46,198776
19-Oct-16,2801.3,2820,2768.85,2787.95,2797.79,305702
20-Oct-16,2797.25,2824.6,2790,2796.55,2805.05,151814
21-Oct-16,2810,2815,2782,2802.35,2796.11,142333
24-Oct-16,2808.5,2814.6,2785.1,2790,2793.7,148446
25-Oct-16,2797,2811.5,2786,2801.55,2799.67,207170
26-Oct-16,2795,2845,2790.05,2823.95,2828.73,157120
27-Oct-16,2824.9,2833.9,2751.3,2761.5,2781.62,214627
28-Oct-16,2764,2857.5,2762,2848.1,2810.92,777805
30-Oct-16,2875,2875,2815,2830.4,2843.02,34039
1-Nov-16,2830.4,2864,2819.6,2825.6,2840.91,337967
2-Nov-16,2818.7,2829.9,2770,2818.8,2804.28,297340
3-Nov-16,2810,2852.95,2790,2829.85,2829.54,354196
4-Nov-16,2829.9,2850,2805.5,2814.3,2824.77,223620
7-Nov-16,2830,2849.9,2781,2824.1,2824.82,286013
8-Nov-16,2834,2875.25,2819.25,2865,2859.77,278172
9-Nov-16,2746,2823.95,2658.1,2778.55,2750.85,605617
10-Nov-16,2790,2846.8,2710.6,2726.6,2772.78,294318
11-Nov-16,2709.1,2768,2633,2647.6,2664.25,277559
15-Nov-16,2632,2659,2510.35,2576.1,2568.89,410208
16-Nov-16,2601,2662.95,2570.2,2605.65,2612.57,493925
17-Nov-16,2590,2665,2522,2549.8,2567.68,331352
18-Nov-16,2556,2579.95,2545,2574.8,2566.4,176488
21-Nov-16,2575,2584.9,2510,2524.4,2544.5,271829
22-Nov-16,2540,2614.8,2514.85,2599.5,2578.45,301790
23-Nov-16,2639.7,2639.7,2571,2600.35,2601.54,253894
24-Nov-16,2591,2658,2550,2630.9,2628.29,609817
25-Nov-16,2620,2646,2603.15,2613.05,2616.14,238138
28-Nov-16,2619.95,2665,2612,2637,2638.67,245346
29-Nov-16,2640.8,2687,2635.05,2664.15,2664.73,254430
30-Nov-16,2690,2690.05,2664,2685.15,2682.87,480765
1-Dec-16,2684,2718,2667.35,2694.9,2686.42,252658
2-Dec-16,2674.5,2715,2653.05,2701.35,2687.94,220351
5-Dec-16,2692,2765.5,2689.05,2740.75,2731.14,238386
6-Dec-16,2745.3,2754.75,2725,2733.3,2740.61,204792
7-Dec-16,2736.3,2740.9,2686.3,2699.05,2712.84,182325
8-Dec-16,2715,2789.25,2715,2778.6,2763.47,193573
9-Dec-16,2781.55,2786.35,2716.1,2720.15,2729.07,182787
12-Dec-16,2715,2716.3,2646.15,2655.15,2663.36,350356
13-Dec-16,2655,2665.9,2640,2659.15,2659.09,243253
14-Dec-16,2669,2669.3,2631.6,2648.5,2648.31,165794
15-Dec-16,2668,2699.05,2628.85,2670.65,2674.8,247366
16-Dec-16,2681,2681,2649,2659.5,2662.42,181030
19-Dec-16,2649,2658,2633,2642.1,2645.26,152159
20-Dec-16,2644.85,2662.3,2575.5,2585.95,2592.14,205165
21-Dec-16,2600.1,2632,2579,2585.25,2601.28,140989
22-Dec-16,2586,2590,2551,2564.15,2569.88,137600
23-Dec-16,2565.1,2633.25,2553.8,2618.8,2608.14,197018
26-Dec-16,2617.7,2650,2577.7,2600.7,2598.9,121218
27-Dec-16,2595,2643.7,2570,2633.8,2608.21,169834
28-Dec-16,2634,2654.25,2623.4,2633.15,2643.96,275831
29-Dec-16,2625.2,2666.8,2610.75,2651.45,2639.82,190486
30-Dec-16,2652.1,2666,2627,2632.2,2643.43,130704
2-Jan-17,2642.7,2654.3,2552,2598.5,2588.33,323342
3-Jan-17,2594,2632.2,2561.45,2619.2,2601.61,420196
4-Jan-17,2625.2,2698.55,2615.95,2684.1,2660.36,343922
5-Jan-17,2694,2730,2685,2723.35,2708.73,188686
6-Jan-17,2721,2739.9,2696.7,2707.35,2719.32,159484
9-Jan-17,2717,2746,2708,2723.15,2725.27,116789
10-Jan-17,2728.25,2747.3,2712,2740.75,2730.73,154097
11-Jan-17,2746.5,2748.5,2703.55,2718.55,2721.28,225842
12-Jan-17,2715,2743.45,2707.65,2737.15,2722.58,243299
13-Jan-17,2732,2753.75,2691.2,2708.55,2723.46,247719
16-Jan-17,2703,2730,2686.65,2721.65,2711.18,116324
17-Jan-17,2711,2742,2700,2728.9,2722.78,139584
18-Jan-17,2743,2743,2687.35,2699.7,2710.35,161391
1/19/17,2698.9,2712,2681.5,2695.3,2696.9,235309
1/20/17,2689,2720,2682,2701.05,2706.08,204961
1/23/17,2695.5,2715,2685,2706.5,2703.53,147551